elapsed_time,latitude,longitutde,speed(kmph),new_angle,norm_factor,new_w_speed
7.478,12.96679223,77.6612777,3.888,0.0,0.0,3.89
8.454,12.96681225,77.66134869,3.78,17.41,0.0,3.78
9.46,12.9668445,77.66139805,2.016,14.82,0.0,2.02
10.465,12.96677924,77.66133925,6.803999999999999,-19.95,0.0,6.8
10.782,12.96679088,77.66136111,0.0,57.08,0.0,0.0
11.788,12.96679474,77.66136144,0.0,-53.7,0.0,0.0
12.786,12.96680473,77.6613778,0.0,-16.7,0.0,0.0
13.788,12.96681479,77.66141613,0.0,-18.01,0.0,0.0
14.79,12.96681232,77.66145892,9.288,39.66,0.0,9.29
15.790999999999999,12.96681759,77.66146608,3.96,-32.22,0.0,3.96
16.803,12.96681841,77.66147742,2.88,1.38,0.0,2.88
17.795,12.96682077,77.66150184,4.356,29.97,0.0,4.36
18.793,12.96683233,77.66151805,5.004,-76.17,0.0,5.0
19.785999999999998,12.96681566,77.66153745,6.12,33.93,0.0,6.12
20.796999999999997,12.96680921,77.66159203,14.58,-6.16,0.0,14.58
21.796999999999997,12.96680211,77.66162302,16.632,-22.17,2.46,57.6
22.798000000000002,12.96676522,77.66167556,17.424,-6.34,0.7,29.7
23.785,12.96673266,77.66171247,16.956,13.4,1.49,42.2
24.789,12.96670511,77.66176425,19.008,-26.8,2.98,75.61
25.785999999999998,12.9666519,77.66180176,22.896,49.87,5.54,149.77
26.78,12.9666446,77.66188599,23.796,-58.63,6.51,178.81
27.789,12.96656138,77.66192734,30.276,-0.73,0.08,32.73
28.796,12.96647988,77.66196655,32.256,4.24,0.47,47.45
29.807,12.96640633,77.6620089,32.832,-12.49,1.39,78.4
30.787,12.96631665,77.66203708,35.424,18.82,2.09,109.5
31.803,12.96623707,77.66209547,37.224000000000004,-3.98,0.44,53.69
32.804,12.966166000000001,77.66214037,36.144,3.38,0.38,49.72
33.79,12.96609923,77.66218828,30.636,-5.97,0.66,50.96
34.783,12.96602909,77.66222827,31.535999999999998,-5.32,0.59,50.18
35.792,12.96599045,77.66224577,20.412,16.12,1.79,56.97
36.803000000000004,12.96596433,77.66226807,15.84,-7.9,0.88,29.74
37.797,12.96593719,77.66228542,11.556,-4.98,0.0,11.56
38.786,12.96591545,77.66229679,7.776,55.07,0.0,7.78
39.796,12.96591346,77.66231229,6.12,3.16,0.0,6.12
40.78,12.96591194,77.66233321,7.127999999999999,55.7,0.0,7.13
41.792,12.96592749,77.66234556,9.0,-8.79,0.0,9.0
42.781000000000006,12.96594538,77.66236491,10.44,-19.54,0.0,10.44
43.786,12.96596068,77.66240059,14.184000000000001,-6.19,0.0,14.18
44.79600000000001,12.96597287,77.66244041,16.38,6.33,0.7,27.9
45.805,12.96598788,77.66247517,14.148,-5.9,0.0,14.15
46.798,12.96599733,77.66250523,11.52,-18.23,0.0,11.52
47.798,12.96599692,77.66253527,9.72,0.07,0.0,9.72
48.802,12.96599669,77.66255367,5.904,-13.27,0.0,5.9
49.781000000000006,12.96599342,77.6625668,6.624,-14.06,0.0,6.62
50.792,12.96598666,77.66257949,6.0120000000000005,-8.43,0.0,6.01
51.795,12.96597504,77.66259521,8.496,-3.23,0.0,8.5
52.793,12.96595949,77.66261394,8.496,-0.97,0.0,8.5
53.773,12.96594392,77.66263206,8.496,-0.43,0.0,8.5
54.776,12.96592671,77.66265179,11.808,-14.42,0.0,11.81
55.791000000000004,12.96590063,77.66266970000001,14.58,-4.26,0.0,14.58
56.792,12.9658655,77.66269016,17.748,-18.72,2.08,54.66
57.81,12.96580603,77.66270226,23.868000000000002,19.65,2.18,75.98
58.799,12.96575554,77.66273278,24.732,0.28,0.03,25.5
59.791000000000004,12.9657027,77.66276507,24.984,1.36,0.15,28.76
60.797,12.96564679,77.66280109,26.712,9.32,1.04,54.37
61.786,12.96559022,77.66285223,30.671999999999997,-2.92,0.32,40.62
62.79,12.96552625,77.66290440000002,31.572,5.95,0.66,52.44
63.788000000000004,12.96546838,77.66296257,30.6,-4.81,0.53,46.95
64.783,12.96540331,77.66301783,31.896,-22.06,2.45,110.08
65.78399999999999,12.96533065,77.66304183,31.968000000000004,18.92,2.1,99.17
66.78699999999999,12.96526287,77.66309328,31.5,-8.29,0.92,60.52
67.774,12.96519823,77.66312898,29.628,16.76,1.86,84.8
68.792,12.96514525,77.66318321,32.148,14.01,1.56,82.19
69.78399999999999,12.96509771,77.66326448,32.508,-24.65,2.74,121.54
70.80199999999999,12.96502335,77.66331659,34.992,-11.25,1.25,78.73
71.792,12.9649408,77.66335295,34.884,5.44,0.6,55.97
72.791,12.96486028,77.66339797,35.135999999999996,1.39,0.15,40.56
73.782,12.96478132,77.66344466,34.02,3.07,0.34,45.62
74.774,12.96470886,77.66349293,34.164,-2.97,0.33,45.44
75.789,12.96462825,77.66354079999999,36.071999999999996,4.26,0.47,53.15
76.78699999999999,12.96453954,77.66360284,40.356,-13.48,1.5,100.8
77.786,12.96444417,77.66364038,42.192,9.66,1.07,87.48
78.80199999999999,12.96434541,77.66370007,44.856,-8.02,0.89,84.83
79.795,12.96423662,77.66374654,48.528,7.8,0.87,90.59
80.782,12.96413158,77.66380947,48.492,7.74,0.86,90.2
81.804,12.96402502,77.66389474,53.424,-4.96,0.55,82.87
82.81700000000001,12.9639109,77.66397086,53.1,2.83,0.31,69.8
83.835,12.96380387,77.66405017,51.336000000000006,-4.92,0.55,79.4
84.846,12.96369811,77.66411527,49.284,-0.26,0.03,50.71
85.825,12.96359109,77.66418048,48.276,-1.63,0.18,57.02
86.795,12.9634909,77.66423769,43.163999999999994,3.7,0.41,60.91
87.794,12.963408,77.66429240000001,38.448,0.32,0.04,39.82
88.811,12.96333163,77.66434341,34.2,-0.91,0.1,37.66
89.81,12.96326028,77.66438945,29.916,-5.18,0.58,47.13
90.81700000000001,12.9632007,77.66442067,25.704,21.44,2.38,86.94
91.811,12.96315976,77.66446792,21.96,-4.69,0.52,33.4
92.78399999999999,12.96313097,77.66449612,16.452,9.85,1.09,34.46
93.786,12.96311087,77.66452405,14.004000000000001,2.06,0.0,14.0
94.794,12.96309956,77.66454102,11.808,63.21,0.0,11.81
95.791,12.96311582,77.66456973,11.664000000000001,12.75,0.0,11.66
96.774,12.963133500000001,77.66458918,10.98,-5.44,0.0,10.98
97.806,12.96315323,77.66461552,15.3,18.12,2.01,46.1
98.807,12.9631969,77.66464615,19.656,-17.28,1.92,57.4
99.786,12.96322747,77.66468574,19.656,6.85,0.76,34.62
100.78399999999999,12.96328294,77.66474213,27.756,8.46,0.94,53.85
101.79,12.96333507,77.66478143,27.54,-8.71,0.97,54.19
102.77799999999999,12.96337865,77.66482613,26.568,-2.88,0.32,35.07
103.794,12.96343104,77.66488557,28.26,21.76,2.42,96.59
104.787,12.96353004,77.66493568,35.064,-9.75,1.08,73.05
105.785,12.96359727,77.66498561,36.216,4.26,0.47,53.36
106.78,12.96367321,77.66503370000001,36.251999999999995,-1.42,0.16,41.97
107.775,12.96374379,77.66508089,34.992,-7.68,0.85,64.85
108.78399999999999,12.96381245,77.66514153,34.668,22.92,2.55,122.96
109.785,12.96387922,77.66516391,32.004,-26.42,2.94,125.95
110.785,12.96391512,77.66519975,25.092,0.33,0.04,26.01
111.785,12.96395295,77.66523709,22.32,-18.77,2.09,68.87
112.779,12.96396843,77.66526800000001,16.848,9.22,1.02,34.11
113.787,12.96399605,77.66530627,16.38,-5.66,0.63,26.68
114.789,12.96401488,77.66533868,16.308,-19.78,2.2,52.15
115.801,12.96402212,77.66537822,16.055999999999997,-17.36,1.93,47.03
116.788,12.964016699999998,77.66542249,15.48,-18.63,2.07,47.52
117.81299999999999,12.96399168,77.66547469,18.612000000000002,-16.3,1.81,52.32
118.788,12.9639656,77.66550375,14.652000000000001,7.05,0.0,14.65
119.78,12.96394687,77.66553064,13.824000000000002,-10.25,0.0,13.82
120.78200000000001,12.96391865,77.66555875,13.932,7.72,0.0,13.93
121.787,12.9638933,77.66559192,15.948,-11.04,1.23,35.51
122.786,12.96385435,77.66562647,18.0,7.09,0.79,32.18
123.791,12.96381988,77.66566565,18.396,-1.44,0.16,21.34
124.796,12.96378297,77.66570553,19.224,9.98,1.11,40.54
125.796,12.96372751,77.66579157,26.46,-8.82,0.98,52.39
126.79700000000001,12.96367381,77.665852,26.892,29.51,3.28,115.07
127.795,12.96366041,77.66591445,25.236,-16.41,1.82,71.25
128.789,12.96361944,77.66598985,27.035999999999998,17.09,1.9,78.37
